file,k,dist,tight,seed,opt,method,eps,cost,ratio,evaluated,pruned,ms_min,ms_mean,feasible
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,approx,0.020000,74.467520,1.000000,45,95,0.020368,0.020412,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,approx,0.050000,74.467520,1.000000,45,95,0.020298,0.020362,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,approx,0.100000,74.467520,1.000000,45,95,0.020279,0.020970,1
instances/k08_clustered_tight_s3.txt,8,clustered,tight,3,74.4675,approx,0.200000,74.467520,1.000000,45,95,0.020249,0.020324,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,brute,0.000000,63.035837,1.000001,40320,0,0.395154,0.452326,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,dp,0.000000,63.035837,1.000001,755,0,0.015269,0.021146,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,dp_par,0.000000,63.035837,1.000001,755,0,0.029215,0.045600,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,dp_prune,0.000000,63.035837,1.000001,59,92,0.013085,0.017038,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,approx,0.000000,63.035837,1.000001,57,94,0.021170,0.025079,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,approx,0.020000,63.035837,1.000001,57,94,0.020920,0.021017,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,approx,0.050000,63.035837,1.000001,57,94,0.020839,0.021586,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,approx,0.100000,63.035837,1.000001,57,94,0.020869,0.020939,1
instances/k08_clustered_tight_s4.txt,8,clustered,tight,4,63.0358,approx,0.200000,63.035837,1.000001,29,97,0.019878,0.020094,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,brute,0.000000,34.642992,1.000000,40320,0,0.646929,0.677962,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,dp,0.000000,34.642992,1.000000,1018,0,0.019497,0.036631,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,dp_par,0.000000,34.642992,1.000000,1018,0,0.028654,0.033233,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,dp_prune,0.000000,34.642992,1.000000,795,160,0.053611,0.086110,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,approx,0.000000,34.642992,1.000000,786,158,0.075082,0.092134,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,approx,0.020000,34.642992,1.000000,740,181,0.057058,0.062089,1
