
AMDuProfPcm Report

Processor Name:,AMD Ryzen 7 7735H with Radeon Graphics
System:,Family(0x19) Model(0x44) Stepping(0x1)
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,8
Number of Threads :,16
SMT Enabled in HW:,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15

Core P0 state frequency (MHz):,3200.000000
Multiplex interval (ms):,100
Sample interval (ms):,1000
Data Collection Driver:,MSR Driver
Version:,5.2.431.0 (Public)

Hypervisor Info:
Hypervisor Enabled:,True
Hypervisor Supported:,True
Hypervisor Vendor:,Microsoft Hyper-V
Root/Host Partition:,1
Command:,"AMDuProfPcm -m cache_miss,l2 -s -o cache_result.csv -- .\BX_lab01_1.exe"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
pto    : Per Thousand Operations

Warnings:
L1 cache misses does not count the misses for which cache lines have already been requested due to an earlier miss.

Profile Time: 2026/03/31 11:15:32:025
,CORE METRICS,,,,,,,,,,,,,,,,
,System (Aggregated),,,,,,,,,,,,,,,,
Timestamp,L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L1 DC Miss (pti),L2 Data Read Miss (pti),L1 IC Miss (pti),L2 Code Read Miss (pti),
00:01:27:145,217.78,77.91,38.00,18.41,71.71,45.47,12.68,13.56,88.04,64.43,17.73,4.85,39.71,32.57,182.18,89.01,
00:01:28:191,137.21,167.03,40.18,16.53,136.60,102.32,22.99,11.29,56.99,40.66,11.77,5.24,25.37,32.84,87.10,39.10,
00:01:29:214,163.52,142.41,34.20,23.08,118.93,83.21,19.34,16.38,75.87,54.54,14.98,6.70,34.71,35.37,116.50,59.40,
00:01:30:253,181.72,164.74,39.55,28.19,139.47,97.59,21.42,20.46,89.05,64.60,16.73,7.74,40.32,9.85,189.09,95.60,
00:01:31:297,223.22,113.11,32.80,17.42,93.03,64.21,15.86,12.96,58.41,31.33,22.42,4.46,22.38,29.87,39.35,21.13,
00:01:32:341,135.60,121.33,37.32,12.12,94.08,67.51,17.67,8.90,74.93,55.34,14.37,3.23,45.65,13.52,121.43,64.37,
00:01:33:375,145.38,145.20,35.65,18.30,120.57,88.22,19.57,12.77,84.50,60.57,17.20,5.53,25.19,17.97,17.37,10.11,
00:01:34:407,199.67,154.81,39.93,16.40,125.11,91.57,21.83,11.71,78.70,57.50,14.96,4.69,30.85,33.95,133.70,68.77,
00:01:35:457,171.67,161.80,40.82,14.92,124.76,92.42,21.72,10.62,81.87,60.88,14.97,4.30,40.35,31.90,184.65,93.42,
00:01:36:476,173.59,123.76,35.45,13.30,86.05,59.85,16.94,9.26,87.55,63.67,20.06,4.04,38.93,11.98,136.22,57.38,
00:01:37:536,196.06,104.03,33.15,15.96,79.46,53.50,14.36,11.60,79.04,52.02,22.53,4.36,26.73,33.36,48.80,20.67,
00:01:38:604,160.17,55.29,24.89,15.63,50.52,30.36,9.52,10.63,79.22,44.78,28.66,5.01,33.48,28.79,145.66,74.93,
00:01:39:669,92.90,114.77,40.42,9.28,79.42,55.95,16.67,6.80,84.50,60.24,20.27,2.48,14.52,34.42,34.27,18.71,
00:01:40:752,123.39,86.89,35.32,11.88,64.50,42.46,14.07,7.98,83.90,61.03,18.55,3.90,34.16,21.66,112.83,46.73,
00:01:41:815,161.92,103.69,33.96,18.56,71.81,45.42,13.62,12.77,41.11,23.08,12.13,5.79,24.58,14.93,61.88,25.24,
00:01:42:891,121.60,46.45,20.88,10.97,33.96,19.88,6.80,7.27,30.90,16.08,11.08,3.70,16.88,14.81,35.80,14.74,
00:01:43:942,129.67,73.74,28.04,12.40,50.26,31.45,10.61,8.21,29.55,14.38,10.87,4.19,15.91,15.91,31.91,13.63,
00:01:44:990,59.74,35.64,18.94,5.57,24.17,14.91,5.44,3.81,26.34,17.51,6.84,1.76,10.65,7.19,32.82,13.91,
00:01:46:016,72.17,37.23,21.23,10.98,34.13,19.94,6.02,8.17,71.90,43.33,24.48,2.81,37.58,14.97,125.23,56.75,
00:01:47:046,139.87,125.76,43.84,12.59,101.93,72.94,19.91,9.08,69.35,43.34,23.04,3.51,30.18,27.90,116.26,55.34,
00:01:48:072,174.01,55.88,20.15,14.76,37.21,20.92,5.73,10.56,49.61,26.73,18.65,4.21,35.07,31.70,119.07,55.21,
00:01:49:103,108.94,102.33,34.49,8.87,72.99,52.81,14.54,5.64,76.10,50.55,22.44,3.23,26.10,11.91,39.22,14.38,
00:01:50:127,95.88,73.42,32.65,16.74,63.94,40.04,11.74,12.15,43.78,26.32,12.40,4.59,17.86,27.19,43.22,19.39,
00:01:51:149,171.98,104.74,40.48,15.43,76.24,50.05,15.43,10.77,80.83,58.50,16.97,4.67,7.48,24.16,25.64,10.59,
00:01:52:199,59.87,112.84,43.20,7.50,78.76,55.69,17.03,6.03,76.48,58.35,16.04,1.46,16.23,6.69,31.52,13.92,
00:01:53:259,28.35,28.90,16.78,6.45,25.99,15.64,5.03,5.32,35.93,22.26,12.34,1.13,46.07,29.48,182.33,93.12,
00:01:54:355,149.44,99.13,33.25,16.93,77.18,49.42,15.79,11.97,35.63,18.09,12.53,4.96,38.59,29.99,118.73,53.94,
00:01:55:433,99.35,100.56,37.65,9.62,74.92,51.60,16.87,6.45,67.02,48.67,14.85,3.17,37.09,18.66,95.81,43.25,
00:01:56:485,134.84,104.92,34.88,11.33,80.18,56.15,16.11,7.92,82.25,58.51,19.11,3.41,35.96,28.96,113.18,50.63,
00:01:57:559,155.51,91.09,32.84,14.56,69.70,44.68,14.98,10.04,74.65,50.49,19.15,4.51,24.30,11.03,72.12,31.18,
00:01:58:628,226.26,106.86,32.67,17.41,85.64,57.22,15.53,12.89,83.72,55.52,24.17,4.53,31.50,26.26,87.22,31.10,
00:01:59:657,122.01,84.38,29.96,13.70,52.50,30.88,12.27,9.36,72.85,49.51,19.40,4.35,34.19,18.20,111.89,42.02,
00:02:00:725,163.06,96.42,39.36,14.56,73.05,47.18,15.97,9.90,76.95,54.70,16.87,4.67,34.54,23.45,132.23,56.52,
00:02:01:780,156.07,86.02,40.27,12.68,70.49,45.98,15.51,9.00,64.26,43.26,17.94,3.67,34.70,28.90,126.32,52.51,
00:02:02:880,144.17,101.60,38.48,16.82,80.70,51.36,17.50,11.84,82.86,57.86,18.94,4.98,32.41,25.53,81.43,36.63,
00:02:03:912,178.53,131.82,38.39,12.92,101.15,72.73,19.13,9.29,61.80,37.43,20.54,3.63,35.73,21.80,105.33,46.80,
00:02:04:948,160.74,95.57,32.98,13.03,60.16,38.60,13.28,8.27,69.32,46.87,17.73,4.76,37.83,29.74,104.44,46.63,
00:02:05:981,214.41,87.01,30.24,16.64,72.01,46.55,13.46,12.00,93.85,67.51,21.14,4.64,41.12,31.43,184.77,82.61,
00:02:07:014,175.54,163.82,47.85,15.32,130.64,95.48,24.38,10.77,84.69,60.16,18.92,4.54,43.08,36.22,182.60,91.01,
00:02:08:050,155.87,94.16,32.01,12.13,64.41,42.33,13.20,8.88,72.25,52.92,15.67,3.25,42.56,27.61,199.28,93.58,
00:02:09:084,201.22,111.62,36.84,15.10,83.30,56.43,16.20,10.67,65.56,39.85,19.24,4.43,37.08,26.31,137.59,64.06,
00:02:10:166,152.43,102.86,33.96,14.15,75.13,50.32,15.21,9.60,74.48,48.49,21.44,4.56,29.54,31.75,94.02,40.98,
00:02:11:201,182.96,102.54,34.80,17.48,81.40,53.43,16.00,11.98,62.36,38.68,18.40,5.51,34.51,36.55,133.94,58.48,
00:02:12:239,181.82,62.26,29.48,14.43,52.45,30.43,11.86,10.15,65.20,45.49,15.89,4.27,28.15,17.16,99.03,42.32,
00:02:13:305,176.79,99.39,36.30,15.30,72.56,46.80,15.22,10.53,67.30,46.27,15.89,4.76,40.70,25.27,150.04,75.19,
00:02:14:353,111.16,88.53,32.65,13.45,59.21,36.24,13.89,9.08,76.80,54.71,17.13,4.37,31.75,25.90,123.82,57.09,
00:02:15:388,148.30,125.21,35.46,19.21,97.85,66.47,17.48,13.90,75.88,52.57,18.08,5.31,28.14,23.90,90.79,34.28,
00:02:16:414,127.37,100.82,28.49,15.73,78.88,53.28,14.37,11.22,81.17,55.92,20.17,4.51,28.30,24.32,107.65,40.74,
00:02:17:446,139.94,24.78,25.24,12.34,28.14,10.99,8.48,8.67,106.63,69.32,33.42,3.67,37.44,20.83,93.67,37.62,
00:02:18:475,158.35,128.47,34.78,12.69,90.29,64.58,16.75,8.96,83.13,61.70,17.06,3.74,37.81,19.89,99.16,38.58,
00:02:19:525,178.66,75.34,29.28,15.44,57.93,35.02,11.87,11.04,86.12,61.99,18.82,4.40,37.46,22.36,98.81,42.56,
00:02:20:576,106.68,98.86,34.03,10.40,71.20,48.78,15.66,6.76,80.18,61.69,15.71,3.64,35.24,26.26,119.78,57.11,
